Date,Open,High,Low,Close,Volume,Turnover,prevclose,gappct,gapDOWN,Consgapdown,gappctHObO,gappctHObO1,gappctHObO2,gappctHObO3,gappctHObO4,gappctHObO5,gappctOLbO,gappctOLbO1,gappctOLbO2,gappctOLbO3,gappctOLbO4,gappctOLbO5
2008-09-10,4467.5,4467.5,4382.35,4400.25,134790277,67817400000.0,4468.7,-0.02685344731129452,True,1.0,0.0190598768886401,0.0190598768886401,,,,,0.0190598768886401,0.0190598768886401,,,,
2008-09-11,4397.25,4399.3,4272.75,4290.3,116723061,65379500000.0,4400.25,-0.06817794443497528,True,2.0,0.02831315026436978,0.02831315026436978,,,,,0.02831315026436978,0.02831315026436978,,,,
2008-09-16,4072.55,4090.1,3919.35,4074.9,159518028,77271900000.0,4072.9,-0.008593385548378527,True,1.0,0.03761770880652178,0.03761770880652178,,,,,0.03761770880652178,0.03761770880652178,,,,
2008-09-17,4074.8,4116.7,3974.6,4008.25,153414046,76749000000.0,4074.9,-0.002454047952094752,True,2.0,0.024590163934426295,0.024590163934426295,,,,,0.024590163934426295,0.024590163934426295,,,,
2008-09-18,4005.25,4050.1,3799.55,4038.15,203882671,101259500000.0,4008.25,-0.07484563088629702,True,3.0,0.051357593158978795,0.051357593158978795,,,,,0.051357593158978795,0.051357593158978795,,,,
2008-10-08,3604.4,3604.4,3329.45,3513.65,228575994,86499500000.0,3606.6,-0.060999279099423785,True,1.0,0.07628176672955285,0.07628176672955285,,,,,0.07628176672955285,0.07628176672955285,,,,
2008-10-10,3502.05,3502.05,3198.95,3279.95,283977364,108579200000.0,3513.65,-0.33014102144493357,True,2.0,0.08654930683456842,,0.08654930683456842,,,,0.08654930683456842,,0.08654930683456842,,,
2008-10-13,3272.9,3510.2,3272.9,3490.7,195385035,77068300000.0,3279.95,-0.21494230094970132,True,3.0,0.0,0.0,,,,,0.0,0.0,,,,
2008-10-15,3517.9,3518.5,3324.55,3338.4,163717675,66022500000.0,3518.65,-0.02131499296605232,True,1.0,0.05496176696324509,0.05496176696324509,,,,,0.05496176696324509,0.05496176696324509,,,,
2008-10-16,3333.85,3333.85,3099.9,3269.3,234077842,86312600000.0,3338.4,-0.13629283489097116,True,2.0,0.07017412301093326,0.07017412301093326,,,,,0.07017412301093326,0.07017412301093326,,,,
2008-10-17,3269.05,3335.95,3046.6,3074.35,194265455,70531800000.0,3269.3,-0.007646896889242345,True,3.0,0.06804729202673568,0.06804729202673568,,,,,0.06804729202673568,0.06804729202673568,,,,
2008-10-22,3234.7,3235.75,3051.8,3065.15,171324331,56225700000.0,3234.9,-0.00618257133142517,True,1.0,0.05654311064395451,0.05654311064395451,,,,,0.05654311064395451,0.05654311064395451,,,,
2008-10-23,3064.8,3085.1,2917.15,2943.15,234116773,72709100000.0,3065.15,-0.011418690765538687,True,2.0,0.048176063690942336,0.048176063690942336,,,,,0.048176063690942336,0.048176063690942336,,,,
2008-10-24,2936.25,2936.25,2525.05,2584.0,348595400,78434200000.0,2943.15,-0.23444268895571382,True,3.0,0.14004257130693906,0.14004257130693906,,,,,0.14004257130693906,0.14004257130693906,,,,
2008-10-27,2583.75,2585.3,2252.75,2524.2,341552313,70127800000.0,2584.0,-0.009674922600619196,True,4.0,0.12810836961780359,0.12810836961780359,,,,,0.12810836961780359,0.12810836961780359,,,,
2008-10-31,2696.3,2921.35,2696.3,2885.6,320836935,89639599999.99998,2697.05,-0.027808160768246788,True,1.0,0.0,0.0,,,,,0.0,0.0,,,,
2008-11-03,2885.4,3062.05,2885.4,3043.85,240443755,66425300000.0,2885.6,-0.006930967563065502,True,2.0,0.0,0.0,,,,,0.0,0.0,,,,
2008-11-11,3147.2,3147.2,2919.45,2938.65,221654127,58570100000.0,3148.25,-0.033351862145642244,True,1.0,0.0723659125571937,0.0723659125571937,,,,,0.0723659125571937,0.0723659125571937,,,,
2008-11-12,2937.9,2975.2,2794.95,2848.45,250791310,70106600000.0,2938.65,-0.025521923332142312,True,2.0,0.04865720412539578,0.04865720412539578,,,,,0.04865720412539578,0.04865720412539578,,,,
2008-11-14,2848.0,2938.8,2778.8,2810.35,257081847,74236200000.0,2848.45,-0.015798065614626135,True,3.0,0.0242977528089887,0.0242977528089887,,,,,0.0242977528089887,0.0242977528089887,,,,
2008-11-19,2682.75,2772.4,2617.9,2635.0,230509310,64473500000.0,2683.15,-0.014907850846955666,True,1.0,0.024172956853974432,0.024172956853974432,,,,,0.024172956853974432,0.024172956853974432,,,,
2008-11-20,2634.2,2634.2,2502.9,2553.15,204791432,53306100000.0,2635.0,-0.030360531309304814,True,2.0,0.04984435502239759,0.04984435502239759,,,,,0.04984435502239759,0.04984435502239759,,,,
2008-11-26,2652.45,2762.6,2643.35,2752.25,269948758,64292400000.0,2654.0,-0.0584024114544153,True,1.0,0.003430790401327041,0.003430790401327041,,,,,0.003430790401327041,0.003430790401327041,,,,
2008-11-28,2745.7,2779.0,2690.3,2755.1,296322562,72377800000.0,2752.25,-0.23798710146244645,True,2.0,0.020177004042684795,0.020177004042684795,,,,,0.020177004042684795,0.020177004042684795,,,,
2008-12-02,2672.9,2672.9,2570.7,2657.8,261046123,56513100000.00001,2682.9,-0.37273100003727305,True,1.0,0.038235624228366294,,0.038235624228366294,,,,0.038235624228366294,,0.038235624228366294,,,
2008-12-03,2657.5,2693.65,2611.95,2656.45,282545081,59128200000.0,2657.8,-0.011287531040717204,True,2.0,0.01714016933207909,0.01714016933207909,,,,,0.01714016933207909,0.01714016933207909,,,,
2008-12-12,2915.35,2936.8,2812.55,2921.35,284387903,71030300000.0,2920.15,-0.16437511771656188,True,1.0,0.03526163239405208,0.03526163239405208,,,,,0.03526163239405208,0.03526163239405208,,,,
2008-12-15,2917.9,3012.1,2917.9,2981.2,293737834,71330800000.0,2921.35,-0.11809608571379047,True,2.0,0.0,0.0,,,,,0.0,0.0,,,,
2008-12-22,3077.25,3110.45,3027.8,3039.3,315828829,61013600000.0,3077.5,-0.008123476848090982,True,1.0,0.016069542611097512,0.016069542611097512,,,,,0.016069542611097512,0.016069542611097512,,,,
2008-12-23,3039.25,3040.0,2957.05,2968.65,303129447,57053800000.0,3039.3,-0.0016451156516362946,True,2.0,0.027046146253187405,0.027046146253187405,,,,,0.027046146253187405,0.027046146253187405,,,,
2008-12-24,2967.4,2968.0,2900.45,2916.85,380460882,69757100000.0,2968.65,-0.04210668148821855,True,3.0,0.022561838646626767,0.022561838646626767,,,,,0.022561838646626767,0.022561838646626767,,,,
